Ticker,Index_Position
MMM,1
AOS,2
ABT,3
ABBV,4
ACN,5
ADBE,6
AMD,7
AES,8
AFL,9
A,10
APD,11
ABNB,12
AKAM,13
ALB,14
ARE,15
ALGN,16
ALLE,17
LNT,18
ALL,19
GOOGL,20
GOOG,21
MO,22
AMZN,23
AMCR,24
AEE,25
AEP,26
AXP,27
AIG,28
AMT,29
AWK,30
AMP,31
AME,32
AMGN,33
APH,34
ADI,35
AON,36
APA,37
APO,38
AAPL,39
AMAT,40
APP,41
APTV,42
ACGL,43
ADM,44
ANET,45
AJG,46
AIZ,47
T,48
ATO,49
ADSK,50
ADP,51
AZO,52
AVB,53
AVY,54
AXON,55
BKR,56
BALL,57
BAC,58
BAX,59
BDX,60
BRK.B,61
BBY,62
TECH,63
BIIB,64
BLK,65
BX,66
XYZ,67
BK,68
BA,69
BKNG,70
BSX,71
BMY,72
AVGO,73
BR,74
BRO,75
BF.B,76
BLDR,77
BG,78
BXP,79
CHRW,80
CDNS,81
CPT,82
CPB,83
COF,84
CAH,85
CCL,86
CARR,87
CAT,88
CBOE,89
CBRE,90
CDW,91
COR,92
CNC,93
CNP,94
CF,95
CRL,96
SCHW,97
CHTR,98
CVX,99
CMG,100
CB,101
CHD,102
CI,103
CINF,104
CTAS,105
CSCO,106
C,107
CFG,108
CLX,109
CME,110
CMS,111
KO,112
CTSH,113
COIN,114
CL,115
CMCSA,116
CAG,117
COP,118
ED,119
STZ,120
CEG,121
COO,122
CPRT,123
GLW,124
CPAY,125
CTVA,126
CSGP,127
COST,128
CTRA,129
CRWD,130
CCI,131
CSX,132
CMI,133
CVS,134
DHR,135
DRI,136
DDOG,137
DVA,138
DAY,139
DECK,140
DE,141
DELL,142
DAL,143
DVN,144
DXCM,145
FANG,146
DLR,147
DG,148
DLTR,149
D,150
DPZ,151
DASH,152
DOV,153
DOW,154
DHI,155
DTE,156
DUK,157
DD,158
ETN,159
EBAY,160
ECL,161
EIX,162
EW,163
EA,164
ELV,165
EME,166
